,,客   運   人   數  (人 次)   Passengers Carried  (Passenger),,,,,延      人      公      里  (人 公 里)     Passenger-Kilometers  (Passenger-Km),,,,
年    月    別,,總       計,自  強  號,莒  光  號,區 間 列 車,普  通  車,總       計,自  強  號,莒  光  號,區 間 列 車,普  通  車
Year  &  Month,,,,,,,,,,,
,,Grand  Total,Tze-Chiang,Chu-Kuang,Local  Train,Ordinary  Train,Grand  Total,Tze-Chiang,Chu-Kuang,Local  Train,Ordinary  Train
民 國 108 年,2019,"236,151,449","36,367,014","5,455,303","194,264,145","64,987","11,045,601,171","5,080,330,336","600,953,288","5,360,417,299","3,900,248"
,,,,,,,,,,,
            1     月,Jan.,"19,529,195","2,886,925","394,755","16,241,059","6,456","869,639,073","394,594,035","40,831,304","433,859,205","354,529"
            2     月,Feb.,"19,002,601","3,093,977","475,316","15,428,373","4,935","913,026,981","422,758,462","52,324,602","437,717,876","226,041"
            3     月,Mar.,"20,165,018","3,046,654","449,328","16,663,906","5,130","917,561,807","408,778,432","46,856,087","461,615,383","311,905"
,,,,,,,,,,,
            4     月,Apr.,"20,067,487","3,080,653","490,856","16,492,583","3,395","939,740,473","424,211,234","53,403,420","461,884,505","241,314"
            5     月,May,"19,223,512","2,877,599","434,769","15,907,306","3,838","883,215,927","400,192,405","47,735,587","434,961,663","326,272"
            6     月,June,"18,980,868","3,025,489","467,727","15,484,892","2,760","918,017,949","430,217,475","52,817,341","434,802,197","180,936"
,,,,,,,,,,,
            7     月,July,"19,509,476","3,257,455","470,002","15,777,886","4,133","964,327,701","474,405,775","54,801,996","434,760,741","359,189"
            8     月,Aug.,"19,116,679","3,202,027","451,461","15,457,964","5,227","942,858,894","460,982,603","52,124,671","429,440,713","310,907"
            9     月,Sep.,"19,144,283","2,923,470","450,650","15,761,118","9,045","904,342,959","413,202,908","50,152,044","440,700,808","287,199"
,,,,,,,,,,,
            10     月,Oct.,"20,537,788","2,994,462","463,852","17,071,119","8,355","940,036,210","420,393,085","51,105,685","468,098,660","438,780"
            11     月,Nov.,"20,076,579","2,945,412","454,853","16,669,529","6,785","916,794,689","410,660,707","49,699,365","455,894,740","539,877"
            12     月,Dec.,"20,797,963","3,032,891","451,734","17,308,410","4,928","936,038,508","419,933,215","49,101,186","466,680,808","323,299"
,,,,,,,,,,,
民 國 109 年,2020,"203,520,929 ","30,272,561 ","4,104,665 ","169,077,043 ","66,660 ","9,314,223,782 ","4,263,005,633 ","467,846,773 ","4,578,931,612 ","4,439,764 "
,,,,,,,,,,,
            1     月 ,Jan.,"19,456,096 ","3,177,732 ","478,009 ","15,796,263 ","4,092 ","943,151,535 ","449,426,384 ","56,054,378 ","437,443,321 ","227,452 "
